dataset,accuracy,micro-f1,macro-f1
roberta_training,0.9513157894736842,0.9513157894736842,0.9512589530405424
roberta_training,0.9514473684210526,0.9514473684210526,0.9514811971887941
roberta_training,0.9507894736842105,0.9507894736842105,0.9507563842842756
